"Triebzugnummer
(Namensgebung)","Indienststellung
(Aktueller Status)",Zulassungen,Umbauten oder Umrüstungen,Sonstiges
"Tz 8029
Europa/Europe
(seit 5. September 2024)",1. Juli 2024,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign, blauer statt roter Streifen als Nachfolger von Tz 4601. Erster Fahrgasteinsatz am 23. September 2024 als ICE 13411 Brüssel–Berlin (Sonderzug zur InnoTrans 2024 nach Taufe in Brüssel).
Taufname „Europa/Europe“ von Triebzug 4601 übernommen, der ab April 2025 ausgemustert wurde."
Tz 8030,23. Juni 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 26. September 2025 als ICE 713 Köln–Frankfurt (Main)"
Tz 8031,16. Dezember 2024,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 24. Mai 2025 als ICE 2943 Köln–Frankfurt (Main)"
Tz 8032,3. März 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 9. August 2025 als ICE 827 Köln–München"
Tz 8033,,"Deutschland, Belgien, Niederlande",GPS-Lokalisierung des Zuges,"Überarbeitetes Innenraumdesign
Probe-/Zulassungsfahrt für die genannten Punkte am 10. Dezember 2024 von Lindau nach Freilassing
Probefahrten im September/Oktober 2025 zusammen mit Tz 8041 in Polen"
Tz 8034,9. Dezember 2024,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 22. März 2025 als ICE 901 Köln–Frankfurt (Main)"
Tz 8035,24. Januar 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 13. April 2025 als ICE 813 Köln–Frankfurt (Main)"
Tz 8036,14. Februar 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 9. Mai 2025 als ICE 905 Köln–Frankfurt (Main)
Dieser Triebzug war am 8. Juni 2025 auf der Schnellfahrstrecke Köln–Rhein/Main in einen Unfall verwickelt. Ein entlaufenes Pferd wurde vom etwa 300 km/h schnellen Zug in der Nähe von Deesen erfasst. Der Zug wurde im Frontbereich erheblich beschädigt und das Pferd getötet. Passagiere oder Zugpersonal kamen nicht zu Schaden. Der Zug konnte aus eigener Kraft bis Frankfurt ins ICE-Werk Griesheim zurückfahren. Dieser Triebzug ist seit dem 17. Oktober 2025 wieder im Einsatz."
Tz 8037,5. Mai 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 21. August 2025 als ICE 904 Frankfurt (Main)–Köln"
Tz 8038,25. März 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 13. Juni 2025 als ICE 317 Köln–Frankfurt (Main)"
Tz 8039,27. Mai 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 9. September 2025 als ICE 711 Köln–Stuttgart"
Tz 8040,13. Mai 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 29. Juli 2025 als ICE 1252 Köln–Amsterdam"
Tz 8041,,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Probefahrten im September/Oktober 2025 zusammen mit Tz 8033 in Polen"
Tz 8042,7. Juli 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 4. Oktober 2025 als ICE 817 Köln–Frankfurt (Main)"
Tz 8043,18. Juli 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 25. Oktober 2025 als ICE 819 Köln–Frankfurt (Main)"
Tz 8044,4. August 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 17. November 2025 als ICE 823 Essen–Frankfurt (Main)"
Tz 8045,,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Überführung am 5. Dezember 2025 als ICE 713 Köln–Frankfurt (Main)
Erster Fahrgasteinsatz am 12. Dezember 2025 als ICE 314 Frankfurt (Main)–Bruxelles-Midi/Brussel-Zuid"
Tz 8046,23. September 2025,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 20. Dezember 2025 als ICE 2204 Köln–Emden Außenhafen"
